_id,Car Make and Model,Year,Hand,Engine Size,Price,Link
Item ID not found,Make and model not found,Year not found,Hand not found,Engine size not found,0 Price not found,https://www.yad2.co.il/item/Item ID not found
7b2b4fym,יונדאי טוסון,2020,1,"1,999","130,000  ₪",https://www.yad2.co.il/item/7b2b4fym
givec3ec,יונדאי טוסון,2020,1,"1,999","139,000  ₪",https://www.yad2.co.il/item/givec3ec
1p3982av,מיצובישי אקליפס קרוס,2020,1,"1,499","121,000  ₪",https://www.yad2.co.il/item/1p3982av
p67e40e2,מיצובישי אקליפס קרוס,2021,2,"1,499","125,000  ₪",https://www.yad2.co.il/item/p67e40e2
4txzigg4,קיה נירו הייבריד,2020,1,"1,580","116,000  ₪",https://www.yad2.co.il/item/4txzigg4
tukcjsip,מיצובישי אקליפס קרוס,2020,2,"1,499","115,000  ₪",https://www.yad2.co.il/item/tukcjsip
soyln8w8,טויוטה קורולה הייבריד,2019,1,"1,798","100,000  ₪",https://www.yad2.co.il/item/soyln8w8
meopxyda,יונדאי טוסון,2020,1,"1,999","133,000  ₪",https://www.yad2.co.il/item/meopxyda
y2ev6ekv,קיה ספורטז',2020,1,"1,598","120,000  ₪",https://www.yad2.co.il/item/y2ev6ekv
kx448766,מיצובישי אקליפס קרוס,2020,1,"1,499","127,544  ₪",https://www.yad2.co.il/item/kx448766
o8tlxwlg,טויוטה קורולה הייבריד,2019,1,"1,798","120,000  ₪",https://www.yad2.co.il/item/o8tlxwlg
ykc45j2s,פיג'ו 3008,2019,2,"1,598","130,000  ₪",https://www.yad2.co.il/item/ykc45j2s
hf15z2vv,יונדאי אלנטרה הייבריד (2021 ואילך),2022,1,"1,580","139,000  ₪",https://www.yad2.co.il/item/hf15z2vv
f1cynhb4,מיצובישי אקליפס קרוס,2020,1,"1,499","120,000  ₪",https://www.yad2.co.il/item/f1cynhb4
g4edv4e5,סיאט אטקה,2021,1,"1,498","132,000  ₪",https://www.yad2.co.il/item/g4edv4e5
9gn7g3qf,קיה נירו הייבריד,2020,1,"1,580","115,000  ₪",https://www.yad2.co.il/item/9gn7g3qf
obzorl5m,סיאט ארונה,2019,1,999,"89,990  ₪",https://www.yad2.co.il/item/obzorl5m
rc4qs3v1,סיאט ארונה,2022,1,999,"118,000  ₪",https://www.yad2.co.il/item/rc4qs3v1
